epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.4287853496415275,1.7405029705592565,0.37697516930022573,0.34684684684684686
2,1.0559142572539193,1.1597416826656886,0.5654627539503386,0.5225225225225225
3,0.8320012805717332,1.5747875656400407,0.6738148984198645,0.5675675675675675
4,0.6548468992114067,1.1612234030451094,0.7686230248306998,0.5675675675675675
5,0.5350635605198997,0.9641733254705157,0.8182844243792325,0.6441441441441441
6,0.4203412985163076,2.141419223376683,0.8679458239277652,0.43243243243243246
7,0.40165788733533453,0.7921977468899318,0.871331828442438,0.7342342342342343
8,0.2926749901047775,0.5198687102113452,0.909706546275395,0.8288288288288288
9,0.2585176508873701,0.701662038053785,0.9130925507900677,0.7567567567567568
10,0.22714595736137458,0.554707965680531,0.9288939051918735,0.7837837837837838
11,0.20453160575457982,0.6722272038459778,0.9243792325056434,0.8018018018018018
12,0.19990520338926995,0.6160729272024972,0.9356659142212189,0.8063063063063063
13,0.14570057644907916,0.5977523284299033,0.9616252821670429,0.8198198198198198
14,0.16376495042017528,0.49832054546901156,0.9525959367945824,0.8243243243243243
15,0.15331870490419014,0.6530190706253052,0.9503386004514672,0.8243243243243243
16,0.20957005276743854,0.7064334452152252,0.9255079006772009,0.7612612612612613
17,0.13061720877885818,0.4367385804653168,0.9582392776523702,0.8423423423423423
18,0.07682773317875606,0.35289633593388964,0.981941309255079,0.8873873873873874
19,0.11401307369981493,0.9821639997618539,0.9604966139954854,0.7297297297297297
20,0.11818830349615642,0.5325762054749897,0.9661399548532731,0.8153153153153153
21,0.0861836810197149,0.9295563782964434,0.9706546275395034,0.7252252252252253
22,0.08566630894451269,0.6064074848379407,0.9695259593679458,0.8243243243243243
23,0.11725725872176034,0.674920665366309,0.9627539503386005,0.7792792792792793
24,0.09764154910642121,0.6428986149174827,0.9672686230248307,0.8378378378378378
25,0.08000289944798819,0.5158896105630058,0.9762979683972912,0.8558558558558559
